id,poet_jp,poet_kana,waka_original,waka_kana,kami_no_ku,shimo_no_ku,source_anthology,source_book,source_number,theme,season,notes,normalized_original,normalized_kana,embedding_text
21,素性法師,そせいほふし,今来むと いひしばかりに 長月の 有明の月を 待ち出でつるかな,いまこむと いひしばかりに ながつきの ありあけのつきを まちいでつるかな,今来むと いひしばかりに 長月の,有明の月を 待ち出でつるかな,古今集,恋四,691,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,今来むといひしばかりに長月の有明の月を待ち出でつるかな,いまこむといひしばかりにながつきのありあけのつきをまちいでつるかな,"今来むといひしばかりに長月の有明の月を待ち出でつるかな
theme: 恋"
22,文屋康秀,ふんやのやすひで,吹くからに 秋の草木の しをるれば むべ山風を あらしといふらむ,ふくからに あきのくさきの しをるれば むべやまかぜを あらしといふらむ,吹くからに 秋の草木の しをるれば,むべ山風を あらしといふらむ,古今集,秋下,249,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,吹くからに秋の草木のしをるればむべ山風をあらしといふらむ,ふくからにあきのくさきのしをるればむべやまかぜをあらしといふらむ,"吹くからに秋の草木のしをるればむべ山風をあらしといふらむ
theme: 秋
season: 秋"
23,大江千里,おほえのちさと,月見れば 千々に物こそ 悲しけれ わが身ひとつの 秋にはあらねど,つきみれば ちゞにものこそ かなしけれ わがみひとつの あきにはあらねど,月見れば 千々に物こそ 悲しけれ,わが身ひとつの 秋にはあらねど,古今集,秋上,193,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,月見れば千々に物こそ悲しけれわが身ひとつの秋にはあらねど,つきみればちゞにものこそかなしけれわがみひとつのあきにはあらねど,"月見れば千々に物こそ悲しけれわが身ひとつの秋にはあらねど
theme: 秋
season: 秋"
24,菅家,かんけ,此の度は 幣もとりあへず 手向山 紅葉の錦 神のまにまに,このたびは ぬさもとりあへず たむけやま もみぢのにしき かみのまにまに,此の度は 幣もとりあへず 手向山,紅葉の錦 神のまにまに,古今集,羇旅,420,羇旅,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,此の度は幣もとりあへず手向山紅葉の錦神のまにまに,このたびはぬさもとりあへずたむけやまもみぢのにしきかみのまにまに,"此の度は幣もとりあへず手向山紅葉の錦神のまにまに
theme: 羇旅"
25,三条右大臣,さんでうのうだいじん,名にしおはば 逢坂山の さねかづら 人にしられで くるよしもがな,なにしおはば あふさかやまの さねかづら ひとにしられで くるよしもがな,名にしおはば 逢坂山の さねかづら,人にしられで くるよしもがな,後撰集,恋三,701,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,名にしおはば逢坂山のさねかづら人にしられでくるよしもがな,なにしおはばあふさかやまのさねかづらひとにしられでくるよしもがな,"名にしおはば逢坂山のさねかづら人にしられでくるよしもがな
theme: 恋"
26,貞信公,ていしんこう,小倉山 峯のもみぢ葉 心あらば 今ひとたびの みゆき待たなむ,をぐらやま みねのもみぢば こゝろあらば いまひとたびの みゆきまたなむ,小倉山 峯のもみぢ葉 心あらば,今ひとたびの みゆき待たなむ,拾遺集,雑秋,1128,秋;雑,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,小倉山峯のもみぢ葉心あらば今ひとたびのみゆき待たなむ,をぐらやまみねのもみぢばこゝろあらばいまひとたびのみゆきまたなむ,"小倉山峯のもみぢ葉心あらば今ひとたびのみゆき待たなむ
theme: 秋;雑
season: 秋"
27,中納言兼輔,ちゆうなごんかねすけ,みかの原 わきて流るる 泉川 いつみきとてか 戀しかるらむ,みかのはら わきてながるる いづみがは いつみきとてか こひしかるらむ,みかの原 わきて流るる 泉川,いつみきとてか 戀しかるらむ,新古今集,恋一,996,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,みかの原わきて流るる泉川いつみきとてか戀しかるらむ,みかのはらわきてながるるいづみがはいつみきとてかこひしかるらむ,"みかの原わきて流るる泉川いつみきとてか戀しかるらむ
theme: 恋"
28,源宗行朝臣,みなもとのむねゆきあそん,山里は 冬ぞ寂しさ まさりける 人目も草も かれぬと思へば,やまざとは ふゆぞさびしさ まさりける ひとめもくさも かれぬとおもへば,山里は 冬ぞ寂しさ まさりける,人目も草も かれぬと思へば,古今集,冬,315,冬,冬,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,山里は冬ぞ寂しさまさりける人目も草もかれぬと思へば,やまざとはふゆぞさびしさまさりけるひとめもくさもかれぬとおもへば,"山里は冬ぞ寂しさまさりける人目も草もかれぬと思へば
theme: 冬
season: 冬"
29,凡河内躬恒,おほしかふちのみつね,心あてに 折らばや折らむ 初霜の 置きまどはせる 白菊の花,こゝろあてに をらばやをらむ はつしもの おきまどはせる しらぎくのはな,心あてに 折らばや折らむ 初霜の,置きまどはせる 白菊の花,古今集,秋下,277,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,心あてに折らばや折らむ初霜の置きまどはせる白菊の花,こゝろあてにをらばやをらむはつしものおきまどはせるしらぎくのはな,"心あてに折らばや折らむ初霜の置きまどはせる白菊の花
theme: 秋
season: 秋"
30,壬生忠岑,みぶのただみね,有明の つれなく見えし 別れより 暁ばかり 憂きものはなし,ありあけの つれなくみえし わかれより あかつきばかり うきものはなし,有明の つれなく見えし 別れより,暁ばかり 憂きものはなし,古今集,恋三,625,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,有明のつれなく見えし別れより暁ばかり憂きものはなし,ありあけのつれなくみえしわかれよりあかつきばかりうきものはなし,"有明のつれなく見えし別れより暁ばかり憂きものはなし
theme: 恋"
31,坂上是則,さかのうへのこれのり,朝ぼらけ 有明の月と 見るまでに 吉野の里に 降れる白雪,あさぼらけ ありあけのつきと みるまでに よしののさとに ふれるしらゆき,朝ぼらけ 有明の月と 見るまでに,吉野の里に 降れる白雪,古今集,冬,332,冬,冬,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,朝ぼらけ有明の月と見るまでに吉野の里に降れる白雪,あさぼらけありあけのつきとみるまでによしののさとにふれるしらゆき,"朝ぼらけ有明の月と見るまでに吉野の里に降れる白雪
theme: 冬
season: 冬"
32,春道列樹,はるみちのつらき,山がはに 風のかけたる しがらみは 流れもあへぬ 紅葉なりけり,やまがはに かぜのかけたる しがらみは ながれもあへぬ もみぢなりけり,山がはに 風のかけたる しがらみは,流れもあへぬ 紅葉なりけり,古今集,秋下,303,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,山がはに風のかけたるしがらみは流れもあへぬ紅葉なりけり,やまがはにかぜのかけたるしがらみはながれもあへぬもみぢなりけり,"山がはに風のかけたるしがらみは流れもあへぬ紅葉なりけり
theme: 秋
season: 秋"
33,紀友則,きのとものり,久方の 光のどけき 春の日に しづごころなく 花の散るらむ,ひさかたの ひかりのどけき はるのひに しづごころなく はなのちるらむ,久方の 光のどけき 春の日に,しづごころなく 花の散るらむ,古今集,春下,84,春,春,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,久方の光のどけき春の日にしづごころなく花の散るらむ,ひさかたのひかりのどけきはるのひにしづごころなくはなのちるらむ,"久方の光のどけき春の日にしづごころなく花の散るらむ
theme: 春
season: 春"
34,藤原興風,ふぢはらのおきかぜ,誰をかも 知る人にせむ 高砂の 松も昔の 友ならなくに,たれをかも しるひとにせむ たかさごの まつもむかしの ともならなくに,誰をかも 知る人にせむ 高砂の,松も昔の 友ならなくに,古今集,雑上,909,雑,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,誰をかも知る人にせむ高砂の松も昔の友ならなくに,たれをかもしるひとにせむたかさごのまつもむかしのともならなくに,"誰をかも知る人にせむ高砂の松も昔の友ならなくに
theme: 雑"
35,紀貫之,きのつらゆき,人はいさ 心もしらず ふるさとは 花ぞ昔の 香ににほひける,ひとはいさ こゝろもしらず ふるさとは はなぞむかしの かににほひける,人はいさ 心もしらず ふるさとは,花ぞ昔の 香ににほひける,古今集,春上,42,春,春,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,人はいさ心もしらずふるさとは花ぞ昔の香ににほひける,ひとはいさこゝろもしらずふるさとははなぞむかしのかににほひける,"人はいさ心もしらずふるさとは花ぞ昔の香ににほひける
theme: 春
season: 春"
36,清原深養父,きよはらのふかやぶ,夏の夜は まだ宵ながら あけぬるを 雲のいづこに 月宿るらむ,なつのよは まだよひながら あけぬるを くものいづこに つきやどるらむ,夏の夜は まだ宵ながら あけぬるを,雲のいづこに 月宿るらむ,古今集,夏,166,夏,夏,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,夏の夜はまだ宵ながらあけぬるを雲のいづこに月宿るらむ,なつのよはまだよひながらあけぬるをくものいづこにつきやどるらむ,"夏の夜はまだ宵ながらあけぬるを雲のいづこに月宿るらむ
theme: 夏
season: 夏"
37,文屋朝康,ふんやのあさやす,白露に 風の吹きしく 秋の野は つらぬきとめぬ 玉ぞ散りける,しらつゆに かぜのふきしく あきののは つらぬきとめぬ たまぞちりける,白露に 風の吹きしく 秋の野は,つらぬきとめぬ 玉ぞ散りける,後撰集,秋中,308,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,白露に風の吹きしく秋の野はつらぬきとめぬ玉ぞ散りける,しらつゆにかぜのふきしくあきののはつらぬきとめぬたまぞちりける,"白露に風の吹きしく秋の野はつらぬきとめぬ玉ぞ散りける
theme: 秋
season: 秋"
38,右近,うこん,忘らるる 身をば思はず 誓ひてし 人の命の 惜しくもあるかな,わすらるる みをばおもはず ちかひてし ひとのいのちの をしくもあるかな,忘らるる 身をば思はず 誓ひてし,人の命の 惜しくもあるかな,拾遺集,恋四,870,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,忘らるる身をば思はず誓ひてし人の命の惜しくもあるかな,わすらるるみをばおもはずちかひてしひとのいのちのをしくもあるかな,"忘らるる身をば思はず誓ひてし人の命の惜しくもあるかな
theme: 恋"
39,参議等,さんぎひとし,浅茅生の 小野の篠原 しのぶれど あまりてなどか 人の戀しき,あさぢふの をののしのはら しのぶれど あまりてなどか ひとのこひしき,浅茅生の 小野の篠原 しのぶれど,あまりてなどか 人の戀しき,後撰集,恋一,578,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,浅茅生の小野の篠原しのぶれどあまりてなどか人の戀しき,あさぢふのをののしのはらしのぶれどあまりてなどかひとのこひしき,"浅茅生の小野の篠原しのぶれどあまりてなどか人の戀しき
theme: 恋"
40,平兼盛,たひらのかねもり,忍ぶれど 色に出にけり 我が戀は ものや思ふと 人の問ふまで,しのぶれど いろにいでにけり わがこひは ものやおもふと ひとのとふまで,忍ぶれど 色に出にけり 我が戀は,ものや思ふと 人の問ふまで,拾遺集,恋一,622,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,忍ぶれど色に出にけり我が戀はものや思ふと人の問ふまで,しのぶれどいろにいでにけりわがこひはものやおもふとひとのとふまで,"忍ぶれど色に出にけり我が戀はものや思ふと人の問ふまで
theme: 恋"
41,壬生忠見,みぶのただみ,戀すてふ わが名はまだき 立ちにけり 人知れずこそ 思ひそめしか,こひすてふ わがなはまだき たちにけり ひとしれずこそ おもひそめしか,戀すてふ わが名はまだき 立ちにけり,人知れずこそ 思ひそめしか,拾遺集,恋一,621,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,戀すてふわが名はまだき立ちにけり人知れずこそ思ひそめしか,こひすてふわがなはまだきたちにけりひとしれずこそおもひそめしか,"戀すてふわが名はまだき立ちにけり人知れずこそ思ひそめしか
theme: 恋"
42,清原元輔,きよはらのもとすけ,契りきな かたみに袖を しぼりつつ 末の松山 浪こさじとは,ちぎりきな かたみにそでを しぼりつつ すゑのまつやま なみこさじとは,契りきな かたみに袖を しぼりつつ,末の松山 浪こさじとは,後拾遺集,恋四,770,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,契りきなかたみに袖をしぼりつつ末の松山浪こさじとは,ちぎりきなかたみにそでをしぼりつつすゑのまつやまなみこさじとは,"契りきなかたみに袖をしぼりつつ末の松山浪こさじとは
theme: 恋"
43,権中納言敦忠,ごんちゆうなごんあつただ,逢ひみての 後の心に くらぶれば 昔はものを 思はざりけり,あひみての のちのこころに くらぶれば むかしはものを おもはざりけり,逢ひみての 後の心に くらぶれば,昔はものを 思はざりけり,拾遺集,恋二,710,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,逢ひみての後の心にくらぶれば昔はものを思はざりけり,あひみてののちのこころにくらぶればむかしはものをおもはざりけり,"逢ひみての後の心にくらぶれば昔はものを思はざりけり
theme: 恋"
44,中納言朝忠,ちゆうなごんあさただ,逢ふことの 絶えてしなくば なかなかに 人をも身をも 恨みざらまし,あふことの たえてしなくば なかなかに ひとをもみをも うらみざらまし,逢ふことの 絶えてしなくば なかなかに,人をも身をも 恨みざらまし,拾遺集,恋一,678,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,逢ふことの絶えてしなくばなかなかに人をも身をも恨みざらまし,あふことのたえてしなくばなかなかにひとをもみをもうらみざらまし,"逢ふことの絶えてしなくばなかなかに人をも身をも恨みざらまし
theme: 恋"
45,謙徳公,けんとくこう,哀れとも いふべき人は おもほえで 身のいたづらに なりぬべきかな,あはれとも いふべきひとは おもほえで みのいたづらに なりぬべきかな,哀れとも いふべき人は おもほえで,身のいたづらに なりぬべきかな,拾遺集,恋五,950,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,哀れともいふべき人はおもほえで身のいたづらになりぬべきかな,あはれともいふべきひとはおもほえでみのいたづらになりぬべきかな,"哀れともいふべき人はおもほえで身のいたづらになりぬべきかな
theme: 恋"
46,曽根好忠,そねのよしただ,由良の戸を わたる舟人 楫をたえ 行方もしらぬ 戀の道かな,ゆらのとを わたるふなびと かぢをたえ ゆくへもしらぬ こひのみちかな,由良の戸を わたる舟人 楫をたえ,行方もしらぬ 戀の道かな,新古今集,恋一,1071,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,由良の戸をわたる舟人楫をたえ行方もしらぬ戀の道かな,ゆらのとをわたるふなびとかぢをたえゆくへもしらぬこひのみちかな,"由良の戸をわたる舟人楫をたえ行方もしらぬ戀の道かな
theme: 恋"
47,恵慶法師,ゑぎやうほふし,八重葎 しげれる宿の さびしきに 人こそ見えね 秋はきにけり,やへむぐら しげれるやどの さびしきに ひとこそみえね あきはきにけり,八重葎 しげれる宿の さびしきに,人こそ見えね 秋はきにけり,拾遺集,秋,140,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,八重葎しげれる宿のさびしきに人こそ見えね秋はきにけり,やへむぐらしげれるやどのさびしきにひとこそみえねあきはきにけり,"八重葎しげれる宿のさびしきに人こそ見えね秋はきにけり
theme: 秋
season: 秋"
48,源重之,みなもとのしげゆき,風をいたみ 岩うつ浪の おのれのみ 砕けてものを 思ふ頃かな,かぜをいたみ いはうつなみの おのれのみ くだけてものを おもふころかな,風をいたみ 岩うつ浪の おのれのみ,砕けてものを 思ふ頃かな,詞花集,恋上,210,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,風をいたみ岩うつ浪のおのれのみ砕けてものを思ふ頃かな,かぜをいたみいはうつなみのおのれのみくだけてものをおもふころかな,"風をいたみ岩うつ浪のおのれのみ砕けてものを思ふ頃かな
theme: 恋"
49,大中臣能宣朝臣,おほなかとみのよしのぶあそん,御垣守 衛士のたく火の 夜はもえ 晝は消えつつ ものをこそ思へ,みかきもり ゑじのたくひの よるはもえ ひるはきえつつ ものをこそおもへ,御垣守 衛士のたく火の 夜はもえ,晝は消えつつ ものをこそ思へ,詞花集,恋上,224,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,御垣守衛士のたく火の夜はもえ晝は消えつつものをこそ思へ,みかきもりゑじのたくひのよるはもえひるはきえつつものをこそおもへ,"御垣守衛士のたく火の夜はもえ晝は消えつつものをこそ思へ
theme: 恋"
